numVertebrae,vertebraeRadius,numLegs,numLegSegments,legLength,final_loss
3,0.017067156099730207,6,4,0.011346377030744427,-0.15722286701202393
5,0.03871687669331974,5,2,0.011153838753277412,-0.36583685874938965
5,0.03140148628395194,6,2,0.015240964540643102,-0.302100270986557
4,0.039687372643795016,5,1,0.017292428270039274,-0.30276545882225037
4,0.03192872916528012,5,2,0.012307175225730755,-0.27734097838401794
4,0.04351716952460377,4,1,0.01772290358250657,-0.3599785268306732
3,0.0355148289142233,5,1,0.02560849382450653,-0.21283215284347534
5,0.03589486157329687,6,3,0.01,-0.3452969491481781
5,0.03496734216251752,5,1,0.010738271920404031,-0.3147071599960327
