numVertebrae,vertebraeRadius,numLegs,numLegSegments,legLength,final_loss
4,0.03215571301993106,4,3,0.01261752316082615,-0.3029676675796509
5,0.024365307363879863,4,2,0.01,-0.2730133831501007
5,0.02364949046037302,2,1,0.013616624578160198,-0.21986979246139526
3,0.040443564814390785,3,4,0.011167881933687484,-0.35509881377220154
6,0.015672983546095334,5,2,0.016336709466160875,-0.22172805666923523
2,0.037262914257791914,4,5,0.013957064930152255,-0.18487873673439026
5,0.029210057094511084,5,2,0.022542918809335635,-0.2951028347015381
2,0.04726515924662904,4,4,0.013451549556076508,-0.23748117685317993
5,0.03147842511117384,4,4,0.01324480677590011,-0.3388807773590088
