numVertebrae,vertebraeRadius,numLegs,numLegSegments,legLength,final_loss
3,0.03846874989501664,4,1,0.018238351492999207,-0.28409630060195923
2,0.047761060817130364,1,2,0.01,-0.3009207546710968
3,0.03568285959306205,5,4,0.01030153111103785,-0.22149385511875153
2,0.04866586188477831,1,1,0.01,-0.21421849727630615
3,0.0365051241183589,4,1,0.015894325616635122,-0.25799235701560974
2,0.04220399386550777,1,2,0.017168790027547422,-0.27175280451774597
4,0.040137940406048185,3,1,0.015536892418894015,-0.3652609884738922
4,0.0303428391940714,4,2,0.013954178155933677,-0.2645685374736786
2,0.04821676668659006,1,1,0.01,-0.2118479311466217
